key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
barberShareCopied,Service / Barber detail,Zkopírováno,Copied,Скопійовано,,,
barberShareCopyLink,Service / Barber detail,Kopírovat odkaz na profil,Copy profile link,Копіювати посилання на профіль,,,
barberShareEmail,Service / Barber detail,E-mail,Email,E-mail,,,
barberShareEmailBody,Service / Barber detail,Podívej se na profil {name}:\n{url},Check out {name}\'s profile:\n{url},Подивись на профіль {name}:\n{url},,,
barberShareEmailSubject,Service / Barber detail,Profil {name} — Real Barber,Profile {name} — Real Barber,Профіль {name} — Real Barber,,,
barberShareFacebook,Service / Barber detail,Facebook,Facebook,Facebook,,,
barberShareSheetTitle,Service / Barber detail,Sdílet profil,Share profile,Поділитися профілем,,,
barberShareTelegram,Service / Barber detail,Telegram,Telegram,Telegram,,,
barberShareWhatsApp,Service / Barber detail,WhatsApp,WhatsApp,WhatsApp,,,
barberShiftCalendarConfigNeeded,Service / Barber detail,Pro zobrazení dostupnosti je potřeba nastavení kalendáře.,Shift calendar needs to be configured.,Для показу доступності потрібне налаштування календаря.,,,
barberSkills,Service / Barber detail,Dovednosti,Skills,Навички,,,
barberStories,Service / Barber detail,Stories,Stories,Історії,,,
barberStoriesTeaser,Service / Barber detail,Podívejte se na nové stories,Check out new stories,Подивіться нові stories,,,
barberTodayShift,Service / Barber detail,Dnes má směnu,On shift today,Сьогодні на зміні,,,
barberTodaySlots,Service / Barber detail,Dnešní volné termíny,Today's available slots,Сьогоднішні вільні слоти,,,
barberUnavailableToday,Service / Barber detail,Dnes už jsem skončil/a,I'm done for today,Сьогодні я вже закінчив/ла,,,
barberUpdateReview,Barber detail,Upravit recenzi,Update review,Редагувати відгук,,,
barberVideo,Service / Barber detail,Video,Video,Відео,,,
barberWorkSamples,Barber detail,Ukázky práce,Work samples,Приклади робіт,,,
barberWriteReview,Barber detail,Napsat recenzi,Write review,Написати відгук,,,
bookingAddToCalendar,Trip detail / Booking detail,Přidat do kalendáře,Add to calendar,Додати в календар,,,
bookingAddToCalendarDescription,Trip detail / Booking detail,"""Přidá událost s datem, časem a místem do kalendáře.""","""Adds a calendar event with date, time, and location.""","""Додає подію з датою, часом і місцем до календаря.""",,,
bookingAddToCalendarFailed,Trip detail / Booking detail,Kalendář se nepodařilo otevřít. Zkuste to prosím znovu.,The calendar could not be opened. Please try again.,Не вдалося відкрити календар. Спробуйте ще раз.,,,
bookingAnyEmployeeMeta,Reservation create flow,Volné termíny dohromady,Combined available times,Вільні слоти разом,,,
bookingApprove,Booking detail,Schválit,Approve,Схвалити,,,
bookingBranchSelect,Reservation create flow,Vybrat pobočku,Select branch,Обрати відділення,,,
bookingCalendarNoteBarber,Trip detail / Booking detail,Kadeřník,Barber,Барбер,Holič,,"Na webu je „Holič“, ne „Kadeřník“."
bookingCleaningFee,Trip detail / Booking detail,Poplatek za úklid,Cleaning fee,Плата за прибирання,,,
bookingContactYourDetails,Reservation create flow,Vaše údaje,Your details,Ваші дані,,,
bookingContinue,Reservation create flow,Pokračovat,Continue,Продовжити,,,
bookingCouponAppliedAt,Trip detail / Booking detail,Uplatněno,Applied,Застосовано,,,
bookingCouponChoiceTitle,Reservation create flow,Slevový kód / Dárkový poukaz,Discount code / Gift voucher,Знижковий код / Подарунковий сертифікат,,,
bookingCouponCodeLabel,Trip detail / Booking detail,Kód,Code,Код,,,
bookingCouponNotMatchedHint,Reservation create flow,"""Kód platí, ale nemusí být vázaný na váš účet.""",The code is valid but may not be linked to your account.,"""Код дійсний, але може бути не прив’язаний до вашого акаунта.""",,,
bookingCouponSectionTitle,Trip detail / Booking detail,Byl uplatněn kupón,Coupon applied,Купон застосовано,,,
bookingCouponUsageShort,Trip detail / Booking detail,Kupón,Coupon,Купон,,,
bookingDatetimeContactOperator,Reservation create flow,Napsat operátorovi,Contact support,Написати оператору,,,
bookingDatetimeEmptyDayBodyGeneric,Reservation create flow,Tento den není dostupný volný čas.,No available time on this day.,Цього дня немає вільного часу.,,,
bookingDatetimeEmptyDayBodyNamed,Reservation create flow,{employee} ten den nemá volný čas nebo nepracuje.,{employee} has no available time on this day or is not working.,{employee} цього дня не має вільного часу або не працює.,,,
bookingDatetimeEmptyDayTitle,Reservation create flow,{day} - tento den není dostupný,{day} - this day is unavailable,{day} - цей день недоступний,,,
bookingDatetimeGoToDay,Reservation create flow,Přejít na {day},Go to {day},Перейти на {day},,,
bookingDatetimeGoToNearest,Reservation create flow,Přejít na nejbližší dostupné datum,Go to nearest available date,Перейти до найближчої доступної дати,,,
bookingDatetimeNearestAvailableLabel,Reservation create flow,Nejbližší dostupné datum:,Nearest available date:,Найближча доступна дата:,,,
bookingDatetimeNoSlotsToday,Reservation create flow,Tento den již nejsou volné termíny,No available time slots left for this day,На цей день уже немає вільних термінів,,,
bookingDatetimeNoTimeSection,Reservation create flow,Nenašli jste čas?,Did not find a time?,Не знайшли час?,,,
bookingDetailCancelBooking,Trip detail,Opravdu chcete zrušit rezervaci?,Cancel this booking?,Справді скасувати бронювання?,,,
bookingDetailCancelButton,Trip detail,Zrušit,Cancel,Скасувати,,,
bookingDetailCancelConfirmAtBranch,Trip detail,na pobočce,at,у філії,,,
bookingDetailCancelConfirmIntro,Trip detail,Rezervace je naplánovaná na,Your booking is scheduled for,Бронювання заплановано на,,,
bookingDetailCancelError,Trip detail,Rezervaci se nepodařilo zrušit,Failed to cancel booking,Не вдалося скасувати бронювання,,,
bookingDetailCancelNo,Trip detail,Nechat být,Keep booking,Залишити,,,
bookingDetailCancelReasonPlaceholder,Trip detail,Důvod (nepovinné),Reason (optional),Причина (необов’язково),,,
bookingDetailCancelSuccess,Trip detail,Rezervace byla zrušena,Booking cancelled,Бронювання скасовано,,,
bookingDetailCancelYes,Trip detail,Zrušit rezervaci,Cancel booking,Скасувати бронювання,,,
bookingDetailFullMap,Trip detail,Celá mapa,Full map,Вся мапа,,,
bookingDetailLocation,Trip detail,Poloha,Location,Розташування,,,
bookingDetailMoveButton,Trip detail,Přesunout,Reschedule,Перенести,,,
bookingDetailMoveReservation,Trip detail,Přesunout rezervaci,Reschedule,Перенести бронювання,,,
bookingDetailPostBookingCalendarLater,Trip detail / Booking detail,Teď ne,Not now,Не зараз,,,
bookingDetailPostBookingCalendarTitle,Trip detail / Booking detail,Přidat do kalendáře?,Add to calendar?,Додати в календар?,,,
bookingDetailRepeatReservation,Trip detail,Opakovat,Repeat,Повторити,,,
bookingDetailServiceFee,Trip detail,Poplatek za službu (odečteno),Service fee (deducted),Комісія за послугу (відраховано),,,
bookingDetailTaxes,Trip detail,Daně,Taxes,Податки,,,
bookingDetailTitle,Trip detail / Booking detail,Detail rezervace,Booking Detail,Деталі бронювання,,,
bookingDetailYourEarnings,Trip detail,Vaše výdělky,Your earnings,Ваш заробіток,,,
bookingDetails,Trip detail / Booking detail,Detaily rezervace,Booking details,Деталі бронювання,,,
bookingDiscountCodeOption,Reservation create flow,Slevový kód,Discount code,Знижковий код,,,
bookingDiscountCodeSheetHint,Reservation create flow,Vložte slevový kód,Enter your discount code,Введіть знижковий код,,,
bookingDiscountCodeSheetTitle,Reservation create flow,Slevový kód,Discount code,Знижковий код,,,
bookingDuration,Trip detail / Booking detail,Délka,Duration,Тривалість,,,
bookingEmployeeAbout,Reservation create flow,O mně,About me,Про мене,,,
bookingEmployeeFullProfile,Reservation create flow,Celý profil,Full profile,Повний профіль,,,
bookingEmployeeLanguages,Reservation create flow,Jazyky,Languages,Мови,,,
bookingEmployeeNearest,Reservation create flow,Nejbližší termín,Next available,Найближчий термін,,,
bookingEmployeeNoSlots,Reservation create flow,Bez volných termínů,No available slots,Немає вільних термінів,,,
bookingEmployeeSelect,Reservation create flow,Vybrat,Select,Обрати,,,
bookingEmployeeViewProfile,Reservation create flow,Zobrazit profil,View profile,Показати профіль,,,
bookingFrom,Trip detail / Booking detail,Od,From,від,,,
bookingGiftVoucherContinue,Reservation create flow,Pokračovat,Continue,Продовжити,,,
bookingGiftVoucherOption,Reservation create flow,Dárkový poukaz,Gift voucher,Подарунковий сертифікат,,,
bookingGiftVoucherSheetTitle,Reservation create flow,Dárkový poukaz,Gift voucher,Подарунковий сертифікат,,,
bookingGuestInfo,Trip detail / Booking detail,Informace o hostu,Guest Information,Інформація про гостя,,,
bookingInCareOf,Trip detail / Booking detail,V péči u,In care of,Під опікою,,,
bookingLoadFailed,Trip detail / Booking detail,Nepodařilo se načíst,Failed to load,Не вдалося завантажити,,,
bookingMessage,Trip detail / Booking detail,Zpráva,Message,Повідомлення,,,
bookingMessageFromGuest,Trip detail / Booking detail,Zpráva od hosta,Message from guest,Повідомлення від гостя,,,
bookingMessageGuest,Booking detail,Napsat hostovi,Message guest,Написати гостю,,,
bookingMinutesShort,Trip detail / Booking detail,min,min,хв,,,
bookingNotFound,Trip detail / Booking detail,Rezervace nenalezena,Booking not found,Бронювання не знайдено,,,
bookingOpenEmployeeProfile,Trip detail / Booking detail,Profil holiče,Barber profile,Профіль барбера,,,
bookingOtpConfirm,Reservation create flow,Potvrdit rezervaci,Confirm booking,Підтвердити бронювання,,,
bookingOtpHint,Reservation create flow,Zadejte kód z SMS na číslo,Enter the SMS code sent to,Введіть код з SMS на номер,,,
bookingOtpTitle,Reservation create flow,Potvrzení telefonu,Phone verification,Підтвердження телефону,,,
bookingPriceDetails,Trip detail / Booking detail,Cenové detaily,Price details,Деталі ціни,,,
bookingProgressBranch,Reservation create flow,Pobočka,Branch,Філія,,,
bookingProgressContact,Reservation create flow,Kontakt,Contact,Контакт,,,
bookingProgressDatetime,Reservation create flow,Termín,Time,Термін,,,
bookingProgressEmployee,Reservation create flow,Holič,Barber,Барбер,,,
bookingProgressService,Reservation create flow,Služba,Service,Послуга,,,
bookingProgressSummary,Reservation create flow,Shrnutí,Summary,Підсумок,,,
bookingReject,Booking detail,Odmítnout,Reject,Відхилити,,,
bookingRequestDetails,Trip detail / Booking detail,Detaily žádosti,Request details,Деталі запиту,,,
bookingReservationDetails,Trip detail / Booking detail,Detaily rezervace,Reservation details,Деталі бронювання,,,
bookingReservationNumber,Trip detail / Booking detail,Číslo rezervace,Reservation number,Номер бронювання,,,
bookingReserveTerm,Reservation create flow,Rezervovat termín,Book appointment,Забронювати термін,,,
bookingSendRbcTip,Trip detail / Booking detail,Poslat RBC jako spropitné,Send RBC as tip,Надіслати RBC як чайові,,,
bookingServiceFallback,Trip detail / Booking detail,Služba,Service,Послуга,,,
bookingServiceSelect,Reservation create flow,Vybrat tuto službu,Select this service,Обрати цю послугу,,,
bookingShareButton,Trip detail,Sdílet,Share,Поділитися,,,
bookingShareDetailButton,Trip detail,Sdílet detail rezervace,Share booking detail,Поділитися деталями бронювання,,,
bookingShareMyBookingButton,Trip detail,Sdílet rezervaci,Share booking,Поділитися бронюванням,,,
bookingSharePreviewChip,Trip detail,Co uvidí příjemce?,What will they see?,Що побачить одержувач?,,,
bookingShareSheetTitle,Trip detail,Sdílet rezervaci,Share booking,Поділитися бронюванням,,,
bookingShareTitle,Trip detail,Podívej se na mou rezervaci | Real Barber,Check out my booking | Real Barber,Подивись на моє бронювання | Real Barber,,,
bookingSlotHandoffDateAt,Reservation create flow,{date} v {time},{date} at {time},{date} о {time},,,
bookingSlotHandoffDateEarliest,Reservation create flow,{date} nejdříve v {time},Earliest {date} at {time},Найраніше {date} о {time},,,
bookingSlotHandoffDayAfterTomorrowAt,Reservation create flow,Pozítří v {time},Day after tomorrow at {time},Післязавтра о {time},,,
bookingSlotHandoffDayAfterTomorrowEarliest,Reservation create flow,Pozítří nejdříve v {time},Earliest day after tomorrow at {time},Найраніше післязавтра о {time},,,
bookingSlotHandoffDayToday,Reservation create flow,dnes,today,сьогодні,,,
bookingSlotHandoffSubtitle,Reservation create flow,Pro tento termín u vybraného holiče,For this time with your selected barber,Для цього часу в обраного барбера,,,
bookingSlotHandoffTodayAt,Reservation create flow,Dnes v {time},Today at {time},Сьогодні о {time},,,
bookingSlotHandoffTodayEarliest,Reservation create flow,Dnes nejdříve v {time},Earliest today at {time},Найраніше сьогодні о {time},,,
bookingSlotHandoffTomorrowAt,Reservation create flow,Zítra v {time},Tomorrow at {time},Завтра о {time},,,
bookingSlotHandoffTomorrowEarliest,Reservation create flow,Zítra nejdříve v {time},Earliest tomorrow at {time},Найраніше завтра о {time},,,
bookingStatus,Trip detail / Booking detail,Stav,Status,Статус,,,
bookingStatusCancelled,Trips card,Zrušené,Cancelled,Скасовано,,,
bookingStatusInProgress,Trips card,Probíhá,In progress,Триває,,,
bookingStatusPast,Trips card,Minulé,Past,Минулі,,,
bookingStatusUpcoming,Trips card,Nadcházející,Upcoming,Найближча,,,
bookingSummaryMissingSlot,Reservation create flow,Nejdřív vyberte termín u konkrétního holiče.,Please select a time slot with a specific barber first.,Спочатку виберіть час у конкретного барбера.,,,
bookingSummaryPrice,Reservation create flow,Cena,Price,Ціна,,,
bookingTo,Trip detail / Booking detail,Do,To,До,,,
bookingTotal,Trip detail / Booking detail,Celkem,Total,Разом,,,
bookingWaitlist,Reservation create flow,Čekací listina,Waitlist,Черга очікування,,,
bookingYourAppointment,Trip detail / Booking detail,Vaše návštěva,Your appointment,Ваш візит,,,
branchAboutSalon,Branch detail,O salonu,About the salon,Про салон,,,
branchAddressNotSet,Branch detail,Adresa není zadána,Address not set,Адресу не вказано,,,
branchContactSmsAria,Branch detail,Napsat SMS,Send SMS,Написати SMS,,,
branchContactTelegramAria,Branch detail,Napsat Telegram,Send Telegram,Написати в Telegram,,,
branchContactWhatsAppAria,Branch detail,Napsat WhatsApp,Send WhatsApp,Написати в WhatsApp,,,
branchCopyAddress,Service / Barber detail,Zkopírovat adresu,Copy address,Копіювати адресу,,,
branchDescription,Branch detail,Popis pobočky,Branch description,Опис філії,,,
branchDirectionsVideoTitle,Branch detail,Jak se k nám dostanete?,How to get to us,Як до нас дістатися,,,
branchFullRating,Branch detail,Celý průměr,Full rating,Повний рейтинг,,,
branchInteriorTitle,Branch detail,Interiér,Interior,Інтер'єр,,,
branchLoadingReviews,Branch detail,Načítání recenzí…,Loading reviews…,Завантаження відгуків…,,,
branchMenuBook,Service / Barber detail,Objednat se na pobočku,Book at branch,Записатися до філії,,,
branchMenuOpen,Service / Barber detail,Menu pobočky,Branch menu,Меню філії,,,
branchMine,Branch detail,Moje,Mine,Мої,,,
branchNavigateSectionTitle,Kudy,Navigovat,Navigate,Навігація,,,
branchNavigateSheetHeading,Kudy,Navigovat do pobočky,Navigate to branch,Навігація до філії,,,
branchOtherBranchesTitle,Branch detail,Další pobočky,Other branches,Інші філії,,,
branchParkingMapTitle,Branch detail,Parkovací mapa,Parking map,Карта паркування,,,
branchReadMore,Branch detail,Číst více,Read more,Читати більше,,,
branchReserve,Branch detail,Rezervovat,Reserve,Забронювати,,,
branchReview,Branch detail,Recenze,Review,Відгук,,,
branchReviews,Branch detail,recenze,reviews,Відгук,,,
branchServices,Branch detail,Služby,Services,Послуги,,,
branchShareEmailBody,Service / Barber detail,Podívej se na pobočku {name}:\n{url},Check out branch {name}:\n{url},Подивись на філію {name}:\n{url},,,
branchShareEmailSubject,Service / Barber detail,Pobočka {name} — Real Barber,Branch {name} — Real Barber,Філія {name} — Real Barber,,,
branchShareSheetTitle,Service / Barber detail,Sdílet pobočku,Share branch,Поділитися філією,,,
branchTeam,Branch detail,Tým,Team,Команда,,,
branchTitle,Branch detail,Pobočka,Branch,Філія,,,
branchUpdateReview,Branch detail,Upravit recenzi,Update review,Редагувати відгук,,,
branchView3d,Branch detail,Prohlédnout pobočku ve 3D,View the branch in 3D,Переглянути філію в 3D,,,
branchVirtualTourTitle,Branch detail,Virtuální prohlídka,Virtual tour,Віртуальна екскурсія,,,
branchWeb,Branch detail,Web,Web,Веб,,,
branchWriteReview,Branch detail,Napsat recenzi,Write review,Написати відгук,,,
branchesGallery,Common,Galerie,Gallery,Галерея,,,
breadcrumbBlog,Home tabs (horizontal scroll under home),Blog,Blog,Блог,,,
breadcrumbNavLabel,Home tabs (horizontal scroll under home),Drobečková navigace,Breadcrumb navigation,Навігаційні стежки,,,
calendarNextWeek,Calendar chips,Příští týden,Next week,Наступний тиждень,,,
calendarThisMonth,Calendar chips,Tento měsíc,This month,Цей місяць,,,
calendarThisWeek,Calendar chips,Tento týden,This week,Цей тиждень,,,
calendarTitle,Calendar,Kalendář,Calendar,Календар,,,
calendarUpcomingBookings,Calendar,Nadcházející rezervace,Upcoming Bookings,Найближче бронювання,,,
cancelReasonChangeOfPlans,Trip detail,Změna plánů,Change of plans,Зміна планів,,,
cancelReasonNoTime,Trip detail,Nestíhám :(,I won't make it :(,Не встигаю :(,,,
cancelReasonOther,Trip detail,Jiný důvod,Other reason,Інша причина,,,
cancelReasonOtherTerm,Trip detail,Mám jiný termín,I have a different time,Маю інший час,,,
changePasswordConfirmNew,Auth,Potvrdit nové heslo,Confirm new password,Підтвердити новий пароль,,,
changePasswordCurrent,Auth,Aktuální heslo,Current password,Поточний пароль,,,
changePasswordErrorFailed,Auth,Změna hesla se nepodařila. Zkontrolujte prosím své aktuální heslo.,Failed to change password. Please check your current password.,Не вдалося змінити пароль. Перевірте поточний пароль.,,,
changePasswordErrorFillAll,Auth,Vyplňte prosím všechna pole.,Please fill in all fields.,"Будь ласка, заповніть усі поля.",,,
changePasswordErrorMinLength,Auth,Nové heslo musí mít alespoň 6 znaků.,New password must be at least 6 characters.,Новий пароль має містити щонайменше 6 символів.,,,
changePasswordErrorMismatch,Auth,Nová hesla se neshodují.,New passwords do not match.,Нові паролі не збігаються.,,,
changePasswordErrorNotLoggedIn,Auth,Musíte být přihlášeni.,You must be logged in.,Потрібно увійти.,,,
changePasswordErrorSameAsCurrent,Auth,Nové heslo musí být jiné než aktuální.,New password must be different from current password.,Новий пароль має відрізнятися від поточного.,,,
changePasswordHintMinLength,Auth,Heslo musí mít alespoň 6 znaků.,Password must be at least 6 characters.,Пароль має містити щонайменше 6 символів.,,,
changePasswordNew,Auth,Nové heslo,New password,Новий пароль,,,
changePasswordPlaceholderConfirm,Auth,Zadejte nové heslo znovu,Enter new password again,Введіть новий пароль ще раз,,,
changePasswordPlaceholderCurrent,Auth,Zadejte aktuální heslo,Enter current password,Введіть поточний пароль,,,
changePasswordPlaceholderNew,Auth,Zadejte nové heslo (min. 6 znaků),Enter new password (min. 6 characters),Введіть новий пароль (мін. 6 символів),,,
changePasswordSuccessTitle,Auth,Heslo změněno,Password changed,Пароль змінено,,,
changePasswordTipLabel,Auth,Tip:,Tip:,Порада:,,,
changePasswordTipText,Auth,"""Použijte silné heslo s písmeny, čísly a speciálními znaky.""","""Use a strong password with letters, numbers and special characters.""","""Використовуйте надійний пароль із літерами, цифрами та спецсимволами.""",,,
changePasswordTitle,Change password,Změnit heslo,Change password,Змінити пароль,,,
chatMessages,Chat,Zprávy,Messages,Повідомлення,,,
chatTitle,Chat,Chat,Chat,Чат,,,
checkoutAddNewCard,Checkout,Přidat novou kartu,Add New Card,Додати нову картку,,,
checkoutApplePay,Checkout,Apple Pay,Apple Pay,Apple Pay,,,
checkoutApplePayDescription,Checkout,Platba přes Apple Pay,Pay using Apple Pay,Оплата через Apple Pay,,,
checkoutChooseMethod,Checkout,Vybrat způsob rezervace,Choose booking method,Оберіть спосіб бронювання,,,
checkoutGooglePay,Checkout,Google Pay,Google Pay,Google Pay,,,
checkoutGooglePayDescription,Checkout,Platba přes Google Pay,Pay using Google Pay,Оплата через Google Pay,,,
checkoutNoSpecialists,Checkout,V této pobočce nejsou žádní specialisté.,No specialists at this branch.,У цій філії немає спеціалістів.,,,
checkoutOrderReview,Checkout,Shrnutí objednávky,Order review,Підсумок бронювання,,,
checkoutOrderReviewSubtitle,Checkout,Zkontrolujte svou objednávku,Review your logo design order,Перевірте своє замовлення,,,
checkoutPayment,Checkout,Platba,Payment,Оплата,,,
checkoutPaymentMethod,Checkout,Platební metoda,Payment method,Спосіб оплати,,,
checkoutPaymentSubtitle,Checkout,Vyberte platební metodu pro vaši objednávku,Choose a payment method for your design service,Оберіть спосіб оплати для вашого замовлення,,,
checkoutProjectDetails,Checkout,Detaily projektu,Project Details,Деталі проєкту,,,
checkoutReview,Checkout,Recenze,Review,Відгук,,,
checkoutSelectMethodSubtitle,Checkout,"""Vyberte, jak chcete rezervovat""",Select how you want to book,"""Оберіть, як хочете бронювати""",,,
checkoutSelectSpecialist,Checkout,Vybrat specialistu,Select specialist,Обрати спеціаліста,,,
checkoutSelectSpecialistSubtitle,Checkout,"""Vyberte barbera, jehož volné časy chcete vidět""",Choose the barber whose available times you want to see,"""Оберіть барбера, чиї вільні слоти хочете бачити""",,,
clipboardCopied,Service / Barber detail,Zkopírováno!,Copied!,Скопійовано!,,,
clipboardCopyAria,Service / Barber detail,Kopírovat,Copy,Копіювати,,,
commonBack,Product detail,Zpět,Back,Назад,,,
commonCancel,Common,Zrušit,Cancel,Скасувати,,,
commonDelete,Common,Smazat,Delete,Видалити,,,
commonEdit,Service / Barber detail,Upravit,Edit,Редагувати,,,
commonError,Common,Chyba,Error,Помилка,,,
commonLoading,Common,Načítání…,Loading…,Завантаження…,,,
commonNo,Common,Ne,No,Ні,,,
commonRecipient,Transfer,Příjemce,Recipient,Отримувач,,,
commonReserve,Service / Barber detail,Rezervovat,Reserve,Забронювати,,,
commonSave,Common,Uložit,Save,Зберегти,,,
commonViewAll,Common,Zobrazit vše,View all,Переглянути все,,,
commonYes,Common,Ano,Yes,Так,,,
communicationChannel_email,Settings,E-mail,Email,E-mail,,,
communicationChannel_phoneCall,Settings,Telefonický hovor,Phone call,Телефонний дзвінок,,,
communicationChannel_pushBasic,Settings,Push notifikace,Push notifications,Push-сповіщення,,,
communicationChannel_pushNotification,Settings,Push notifikace · Doporučujeme ✓,Push notifications · Recommended ✓,Push-сповіщення · Рекомендуємо ✓,,,
communicationChannel_sms,Settings,SMS,SMS,SMS,,,
communicationChannel_telegram,Settings,Telegram,Telegram,Telegram,,,
communicationChannel_whatsApp,Settings,WhatsApp,WhatsApp,WhatsApp,,,
communicationContent_favoriteServicesAndProducts,Settings,Oblíbené služby a produkty,Favorite services and products,Улюблені послуги та продукти,,,
communicationContent_newsAndPromotions,Settings,Novinky a akce,News and promotions,Новини та акції,,,
communicationContent_reviewsAndFeedback,Settings,Recenze a zpětná vazba,Reviews and feedback,Відгуки та зворотний зв’язок,,,
communicationContent_satisfactionSurveys,Settings,Průzkumy spokojenosti,Satisfaction surveys,Опитування задоволеності,,,
communicationSettingsChannelsSection,Settings,Kanály,Channels,Канали,,,
communicationSettingsContentSection,Settings,Typy obsahu,Content types,Типи контенту,,,
communicationSettingsLoadError,Settings,Nepodařilo se načíst nastavení.,Could not load settings.,Не вдалося завантажити налаштування.,,,
communicationSettingsNeedLogin,Settings,Pro úpravu se přihlaste.,Sign in to change preferences.,"Щоб змінити налаштування, увійдіть.",,,
communicationSettingsSaveError,Settings,Uložení se nezdařilo. Zkuste to znovu.,Save failed. Please try again.,Збереження не вдалося. Спробуйте ще раз.,,,
communicationSettingsSubtitle,Settings,,Choose how we can reach you and what you want to hear about.,"Оберіть, як ми можемо з вами зв’язатися і про що хочете отримувати інформацію.",,,
communicationSettingsTitle,Settings,Komunikační preference,Communication preferences,Комунікаційні вподобання,,,
contactsAccessible,Real Barber home screen,Bezbariérový přístup,Step-free access,Безбар’єрний доступ,,,
contactsBranchHoursIntro,Real Barber home screen,Všechny naše pobočky mají stejnou otevírací dobu:,All our branches share the same opening hours:,Усі наші філії мають однаковий графік роботи:,,,
contactsFirstVisitCta,Real Barber home screen,Doporučení k první návštěvě v barbershopu,Tips for your first barbershop visit,Поради для першого візиту в барбершоп,,,
