app_version,build_ios,build_android,platform,flow_category,endpoint,http_method,auth,background,screen_or_module,notes
1.0.13,50,50,iOS+Android,Holiči / pobočky / služby,GET /api/client/items,GET,Bearer,no,services.tsx,Katalog služeb s includeMedia
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,GET /api/client/cuts,GET,Bearer,yes,my-haircuts.tsx,Seznam účesů klienta; refresh při focus
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,GET /api/client/cuts/{id},GET,Bearer,no,haircut-detail.tsx,Detail účesu
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,POST /api/client/cuts,POST,Bearer,no,haircut-create.tsx / haircut-add.tsx,Vytvoření záznamu účesu
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,PATCH /api/client/cuts/{id},PATCH,Bearer,no,haircut-detail.tsx,Úprava názvu poznámky holiče fotek
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,DELETE /api/client/cuts/{id},DELETE,Bearer,no,haircut-detail.tsx,Smazání účesu
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,POST /api/client/media,POST,Bearer,no,haircut-create.tsx / haircut-detail.tsx / haircut-add.tsx,Upload fotek k účesu
1.0.13,50,50,iOS+Android,Inspirace / účesy / media,DELETE /api/client/media/{id},DELETE,Bearer,no,haircut-detail.tsx,Smazání jedné fotky z účesu
1.0.13,50,50,iOS+Android,Průvodci / guides,GET /api/client/guides,GET,none,no,guides.tsx / guide-detail.tsx,Veřejné průvodce bez auth (checkAuth: false)
1.0.13,50,50,iOS+Android,Stories / social feed,(neimplementováno),,,,,V repu není stories ani social feed API
1.0.13,50,50,iOS+Android,Recenze,GET /api/client/reviews,GET,Bearer,no,experience.tsx / review flows,Seznam recenzí klienta (filtr entityType=employee)
1.0.13,50,50,iOS+Android,Recenze,GET /api/client/reviews/entity/{entityType}/{entityId},GET,Bearer,no,barber-detail / branch-detail / product-detail / review.tsx,Recenze entity (branch employee reservation item sale_log)
1.0.13,50,50,iOS+Android,Recenze,POST /api/client/reviews,POST,Bearer,no,review.tsx,Vytvoření recenze
1.0.13,50,50,iOS+Android,Recenze,PATCH /api/client/reviews/{id},PATCH,Bearer,no,review.tsx,Úprava vlastní recenze
1.0.13,50,50,iOS+Android,Recenze,DELETE /api/client/reviews/{id},DELETE,Bearer,no,review.tsx,Smazání vlastní recenze
1.0.13,50,50,iOS+Android,Kupóny / promo,GET /api/client/coupons,GET,Bearer,yes,real-barber.tsx / client-coupon-detail.tsx,Klientské kupóny (home + detail)
1.0.13,50,50,iOS+Android,Kupóny / promo,POST /api/client/coupons/preview,POST,Bearer,no,useReservationCoupon.ts,Náhled slevy v rezervačním flow
1.0.13,50,50,iOS+Android,Kupóny / promo,GET /api/client/posters,GET,Bearer,yes,real-barber.tsx,Promo plakáty (viz home)
1.0.13,50,50,iOS+Android,Produkty / gift cards,GET /api/client/products,GET,Bearer,no,products.tsx,Zakoupené produkty klienta
1.0.13,50,50,iOS+Android,Produkty / gift cards,GET /api/client/products/by-flag,GET,Bearer,no,products.tsx / product-detail.tsx,Katalog produktů a dárků (flag Prodejní + Dárky); resolveClientProductForDetail prohledá oba flagy
1.0.13,50,50,iOS+Android,RB coins / referrals,GET /api/rb-coins/balance,GET,Bearer,yes,wallet.tsx / transfer-select-recipient.tsx / rbc/index.tsx,Saldo RBC; refresh při focus peněženky
1.0.13,50,50,iOS+Android,RB coins / referrals,GET /api/rb-coins/history,GET,Bearer,yes,wallet.tsx / wallet-history.tsx / transfer-select-recipient.tsx,Historie transakcí RBC
1.0.13,50,50,iOS+Android,RB coins / referrals,POST /api/rb-coins/transfer,POST,Bearer,no,transfer-chat/[id].tsx,Převod RBC na klienta nebo holiče
1.0.13,50,50,iOS+Android,RB coins / referrals,GET /api/client/referrals,GET,Bearer,yes,wallet.tsx / referrals.tsx / referral-* screens,Referral programy statistiky pozvánky; includeProgress=true na detailech
1.0.13,50,50,iOS+Android,RB coins / referrals,POST /api/client/referrals/generate,POST,Bearer,no,referral-program/[id].tsx,Generování referral kódu pro program
1.0.13,50,50,iOS+Android,Push notifikace,POST /api/client/push/register-token,POST,Bearer,yes,PushNotificationsProvider.tsx,Po loginu a při návratu app do foreground (AppState active); body platform iOS|Android
1.0.13,50,50,iOS+Android,Push notifikace,POST /api/client/push/unregister-token,POST,Bearer,yes,PushNotificationsProvider.tsx,Při logoutu (apiToken cleared)
1.0.13,50,50,iOS+Android,Live Activity (ActivityKit),(neimplementováno),,,,,V repu není registrace ActivityKit push tokenu ani související endpoint
1.0.13,50,50,iOS+Android,Oblíbené,GET /api/client/favorites,GET,Bearer,yes,favorites.tsx / experience.tsx / Favorite.tsx,Seznam oblíbených; refresh při focus favorites tabu
1.0.13,50,50,iOS+Android,Oblíbené,POST /api/client/favorites,POST,Bearer,no,Favorite.tsx,Přidání do oblíbených (branch employee item product guide…)
1.0.13,50,50,iOS+Android,Oblíbené,DELETE /api/client/favorites/{id},DELETE,Bearer,no,favorites.tsx / Favorite.tsx,Odebrání z oblíbených
1.0.13,50,50,iOS+Android,Oblíbené,GET /api/client/favorites/{id},GET,Bearer,no,(api only),Wrapper v api/favorites.ts – v UI v1.0.13 nevolán
1.0.13,50,50,iOS+Android,Oblíbené,PATCH /api/client/favorites/{id},PATCH,Bearer,no,(api only),Wrapper v api/favorites.ts – v UI v1.0.13 nevolán
1.0.13,50,50,iOS+Android,Nastavení komunikace,GET /api/client/communication-settings,GET,Bearer,yes,communication-settings.tsx,Načtení preferencí kanálů a obsahu; refresh při focus
1.0.13,50,50,iOS+Android,Nastavení komunikace,PATCH /api/client/communication-settings,PATCH,Bearer,no,communication-settings.tsx,Uložení preferencí (channels contentTypes)
1.0.13,50,50,iOS+Android,Vyhledávání,GET /api/client/clients/search,GET,Bearer,no,transfer-select-recipient.tsx,Hledání klienta pro RBC převod (telefon 420…)
1.0.13,50,50,iOS+Android,Vyhledávání,(globální search API),,,,,SearchBar.tsx je jen navigace na obrazovky – nevolá CRM search endpoint
1.0.13,50,50,iOS+Android,Notifikace – historie,GET /api/internal/notifications/history,GET,Bearer,no,notifications.tsx,Historie in-app notifikací (namespace /api/internal ne /api/client)
1.0.13,50,50,iOS+Android,/api/public/*,(nepoužito),,,,,V kódu klienta nenalezeno
1.0.13,50,50,iOS+Android,/api/follow/*,(nepoužito),,,,,V kódu klienta nenalezeno
1.0.13,50,50,iOS+Android,/api/forms/*,(nepoužito),,,,,V kódu klienta nenalezeno
